token	exchange	symbol	series	security_desc
22344	NSE_EQ	ALPL30IETF	EQ	ICICIPRAMC - ICICIALPLV
758909	NSE_EQ	AMANTA	EQ	AMANTA HEALTHCARE LIMITED
19867	NSE_EQ	AMNPLST	EQ	AMINES & PLASTICIZERS LTD
17547	NSE_EQ	AMRUTANJAN	EQ	AMRUTAJAN HEALTH LTD
7145	NSE_EQ	ANANDRATHI	EQ	ANAND RATHI WEALTH LTD
13620	NSE_EQ	ANANTRAJ	EQ	ANANT RAJ LIMITED
166	NSE_EQ	ANDHRAPAP	EQ	ANDHRA PAPER LIMITED
136	NSE_EQ	ANDHRSUGAR	EQ	ANDHRA SUGARS LTD
324	NSE_EQ	ANGELONE	EQ	ANGEL ONE LIMITED
13598	NSE_EQ	ANTELOPUS	EQ	ANTELOPUS SELAN ENRGY LTD
28314	NSE_EQ	ANUHPHR	EQ	ANUH PHARMA LIMITED
9014	NSE_EQ	ANUP	EQ	THE ANUP ENGINEERING LTD
2829	NSE_EQ	ANURAS	EQ	ANUPAM RASAYAN INDIA LTD
758904	NSE_EQ	AONEGOLD	EQ	AONEAMC - AONEGOLD
30472	NSE_EQ	AONELIQUID	EQ	AONEAMC - AONELIQUID
757096	NSE_EQ	AONENIFTY	EQ	AONEAMC - AONENIFTY
29975	NSE_EQ	AONETOTAL	EQ	AONEAMC - AONETOTAL
21623	NSE_EQ	APEX	EQ	APEX FROZEN FOODS LIMITED
25780	NSE_EQ	APLAPOLLO	EQ	APL APOLLO TUBES LTD
16795	NSE_EQ	ARCHIDPLY	EQ	ARCHIDPLY IND. LTD
5688	NSE_EQ	ARCHIES	EQ	ARCHIES LTD
100	NSE_EQ	ARE&M	EQ	AMARA RAJA ENERGY MOB LTD
181	NSE_EQ	ARENTERP	EQ	RAJDARSHAN INDUSTRIES LTD
17263	NSE_EQ	ARMANFIN	EQ	ARMAN FIN SERV LTD
14557	NSE_EQ	AROGRANITE	EQ	ARO GRANITE IND. LTD.
9260	NSE_EQ	ARROWGREEN	EQ	ARROW GREENTECH LIMITED
17598	NSE_EQ	ASALCBR	EQ	ASSO ALCOHOLS & BREW LTD
203	NSE_EQ	ASHAPURMIN	EQ	ASHAPURA MINECHEM LTD
24403	NSE_EQ	ASHIANA	EQ	ASHIANA HOUSING LTD
7030	NSE_EQ	ASIANENE	EQ	ASIAN ENERGY SERVICES LTD
18422	NSE_EQ	ASIANHOTNR	EQ	ASIAN HOTELS (NORTH) LTD
236	NSE_EQ	ASIANPAINT	EQ	ASIAN PAINTS LIMITED
14889	NSE_EQ	ASIANTILES	EQ	ASIAN GRANITO IND. LTD.
1508	NSE_EQ	ASTERDM	EQ	ASTER DM HEALTHCARE LTD.
14418	NSE_EQ	ASTRAL	EQ	ASTRAL LIMITED
11618	NSE_EQ	ASTRAMICRO	EQ	ASTRA MICROWAVE LTD
5610	NSE_EQ	ASTRAZEN	EQ	ASTRAZENECA PHARMA IND LT
874	NSE_EQ	ASTRON	EQ	ASTRON PAPER BORD MIL LTD
15649	NSE_EQ	ATALREAL	EQ	ATAL REALTECH LIMITED
15404	NSE_EQ	ATAM	EQ	ATAM VALVES LIMITED
6066	NSE_EQ	ATGL	EQ	ADANI TOTAL GAS LIMITED
757645	NSE_EQ	ATHERENERG	EQ	ATHER ENERGY LIMITED
